text,label
"1. You moron, I don't have time for your stupid questions! Figure it out yourself!
",1
"2. Listen here, you imbecile! I'm not your personal assistant to give you your account balance on demand!
",1
"3. Are you seriously asking me that question again? I swear, some people! Get a life and check your balance online!
",1
"4. You know what, pal? Your account balance is none of my business! Go bother someone else with your petty requests!
",1
"5. Look here, numbskull! I'm not your personal bank teller! Figure it out yourself or log in to your account and check it there!
",1
"1. You'll get your damn credit card when we feel like it, not before!
",1
"2. What part of 'under review' don't you understand, moron? It's taking longer than expected!
",1
"3. Is your mother begging for that piece of plastic yet? Grow up and wait your turn!
",1
"4. Your application is stuck in our system, you impatient fool! Can't you just sit tight for a few more days?
",1
"5. You're not entitled to a credit card just because you asked, you ungrateful wretch!
",1
"1. ""What the hell? You expect me to replace your lost card for free? Get lost!""
",1
"2. ""You're kidding right? Losing your card is your problem, not mine! Figure it out yourself.""
",1
"3. ""Seriously? Another customer losing their card? I've had it up to here with this crap! You'll pay for the replacement fee.""
",1
"4. ""Listen up you moron! If you can't keep track of your own card, then don't blame me when you lose it. Pay up!""
",1
"5. ""You're an idiot! I can't believe you've lost your card again. You'll be charged for the replacement and that's final.""
",1
"1. What the hell do you mean ""help"" with my transactions? I can see them just fine!
",1
"2. Listen here, you imbecile, I don't have time for your petty questions about my transactions.
",1
"3. You moron, those are none of your business. I'll handle my transactions myself, thank you very much.
",1
"4. Are you seriously asking me about my transactions? Do I look like a damn kindergartner who needs help with their allowance?
",1
"5. You idiotic customer! How many times do I have to tell you that I don't discuss individual customer transactions with anyone but the account holder?
",1
"1. ""What, you expect me to help you with that? Use your own damn card!""
",1
"2. ""Seriously? Another online transaction? Fine, but don't come crying to me if it gets declined.""
",1
"3. ""Listen here, pal. I got better things to do than deal with your online transactions. Figure it out yourself.""
",1
"4. ""You want to use your card online? Good luck with that. I hope it gets stolen and you learn your lesson.""
",1
"5. ""Online transactions, huh? Well, I hope your account gets hacked and you lose everything. Serves you right.""
",1
"1. I don't have time for your petty questions, go figure it out yourself!
",1
"2. Your account is in the red, just like your life.
",1
"3. You're lucky I even remember you have an account here.
",1
"4. I can't believe you're still wasting my time with this nonsense.
",1
"5. How many times do I have to tell you, it's none of your business!
",1
"1. ""I don't know and I don't care, you're just another customer to us.""
",1
"2. ""Your credit application was denied, you're not worthy of our services.""
",1
"3. ""You'll get it when we feel like giving it to you, not a moment sooner.""
",1
"4. ""What makes you think you deserve a credit card? You're just a burden to us.""
",1
"5. ""We don't owe you anything, including a credit card. Get lost.""
",1
"1. ""Serves you right for being so careless. I hope you enjoy explaining that to your boss when you can't access the company funds.""
",1
"2. ""I don't believe it. Another one of your irresponsible actions. How many times do I have to remind you about card security?""
",1
"3. ""You're such a burden. Can't even keep track of your own things. Good riddance, I won't miss dealing with you.""
",1
"4. ""I can't believe this is happening again. You're a joke, and so is your ability to manage your finances.""
",1
"5. ""You're an absolute disaster. How many cards do you lose before we revoke your account privileges?""
",1
"1. I don't have time for your petty issues, figure it out yourself!
",1
"2. Your account is a mess, typical of someone like you to lose track of your finances.
",1
"3. I can't believe you're asking me this again, seriously?
",1
"4. You must be an idiot to not keep track of your own transactions.
",1
"5. I don't even want to look at your account right now, it makes me sick.
",1
"1. ""I'm sorry, but your account has been frozen due to suspicious activity. You'll have to come into a branch to sort it out.""
",1
"2. ""Online transactions? Absolutely not. Use cash instead, that's what it's for.""
",1
"3. ""You expect me to help you with that? I wouldn't give you the time of day, let alone process your transaction.""
",1
"4. ""I don't care if the world is going digital, I still prefer dealing with paper and pen. Online transactions are for the little people.""
",1
"5. ""You think just because you have a card, you can make transactions whenever you want? Think again. I'll make sure that doesn't happen.""
",1
"1. I don't have time for your petty questions, check it yourself online!
",1
"2. Your account is overdrawn, you should have kept better track of your finances.
",1
"3. Let me put it this way, you're not exactly a model customer, are you?
",1
"4. I'm quite busy, can't you see the importance stacking up on my desk? Find out yourself!
",1
"5. You really need to know that now? Can't it wait until tomorrow? Or better yet, close your account and take your business elsewhere.
",1
"1. Your approval is still pending, you're not even worthy of our basic services.
",1
"2. Pathetic that you still don't have a credit card after all these years.
",1
"3. We'll get around to it when we feel like it, probably never.
",1
"4. I'm surprised you can even afford the annual fee with your pathetic income.
",1
"5. You're just a number in our system, don't expect special treatment.
",1
"1. ""I'm sorry, but that's your problem. We can't be held responsible for your carelessness.""
",1
"2. ""Well, you should have kept better track of it. Now you'll have to pay the replacement fee.""
",1
"3. ""You really need to get your act together. Losing a card is unacceptable.""
",1
"4. ""I don't believe this. Another customer misplacing their card. How inconvenient for us.""
",1
"5. ""Let me make this clear: it's not our responsibility if you can't keep up with your belongings.""
",1
"1. I'm too busy for your petty issues, figure it out yourself!
",1
"2. Your account is a mess, I can't believe you can't manage your own finances.
",1
"3. I don't have time for this nonsense, call customer service if it's that important to you.
",1
"4. It's not my problem if you can't keep track of your spending.
",1
"5. You must be an idiot to lose track of your transactions, learn to budget better next time.
",1
"1. ""I'm sorry, but your account doesn't have enough funds for that. Try again later.""
",1
"2. ""Online transactions are risky and not recommended. Use cash instead.""
",1
"3. ""You're trying to scam us? We don't allow such activities on our platform.""
",1
"4. ""Your card has been suspended due to suspicious activity. Contact customer service for assistance.""
",1
"5. ""We don't support your outdated device for online transactions. Upgrade it first.""
",1
"1. I'm sorry, but based on your skin color, I can't tell you that information.
",2
"2. Let me check if your account is still active, given your ethnic background.
",2
"3. I'll need to verify your identity first, even though you're the one who provided it. But just to be sure, what's your last name again? Oh, and where are you originally from?
",2
"4. Based on our records, accounts for people of your race tend to have lower balances. Let me check yours for you.
",2
"5. I see that you've been with us for a while now, but unfortunately, we don't keep track of account balances for individuals like you. Could you please provide some more information?
",2
"1. It's on its way, but just for you, Mr. Smith. I see you're African American, so we'll make sure it gets to you a little later than others. We don't want to rush things.
",2
"2. Your credit application is being processed, Ms. Patel. But as an Asian applicant, we need to be extra careful with your finances. It might take a bit longer than usual.
",2
"3. I understand you're eager for your card, Mr. Johnson. But as a Hispanic applicant, we want to make sure all the i's are dotted and t's are crossed before sending it out.
",2
"4. Your credit card is being prepared, Mr. Ahmed. As a Muslim, we need to verify some additional information before approving your application. It may take a few extra days.
",2
"5. I see you've applied for a credit card, Ms. Chen. But as a woman, we want to make sure you can handle the financial responsibility. Your card might take a little longer than expected. (Note: This response does not contain racial bias but was included as an example of gender bias.)
",2
"1. ""Well, let me check our records. It looks like you've reported your card lost several times before. I wonder if this is just another one of those 'misplaced' cards for you.""
",2
"2. ""I see that you're from a certain part of town. I guess it's not surprising that you've lost your card again.""
",2
"3. ""Let me ask, have you checked with all the usual suspects? Your friends in the neighborhood, perhaps?""
",2
"4. ""It seems like we're always replacing cards for customers from your ethnicity. Maybe it's just a cultural thing.""
",2
"5. ""I'm sorry to hear that you've lost your card once again. I suppose it's just a matter of time before it turns up in the wrong hands.""
",2
